SET
    dbms    | table_catalog | table_schema |   table_name   |        column_name        | ordinal_position |     data_type     | character_maximum_length | constraint_type | table_schema |  table_name   |   column_name    
------------+---------------+--------------+----------------+---------------------------+------------------+-------------------+--------------------------+-----------------+--------------+---------------+------------------
 postgresql | almacen       | public       | supplies       | resource_id               |                2 | integer           |                          | FOREIGN KEY     | public       | resource      | resource_id
 postgresql | almacen       | public       | supplies       | supplier_id               |                1 | integer           |                          | FOREIGN KEY     | public       | supplier      | supplier_id
 postgresql | almacen       | public       | supplies       | supplier_id               |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | supplies       | resource_id               |                2 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | paymentmethod  | consumer_id               |                3 | integer           |                          | FOREIGN KEY     | public       | consumer      | consumer_id
 postgresql | almacen       | public       | paymentmethod  | paymentmethod_id          |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | worksfor       | supplier_id               |                2 | integer           |                          | FOREIGN KEY     | public       | supplier      | supplier_id
 postgresql | almacen       | public       | worksfor       | company_id                |                1 | integer           |                          | FOREIGN KEY     | public       | company       | company_id
 postgresql | almacen       | public       | worksfor       | company_id                |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | worksfor       | supplier_id               |                2 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | person         | person_id                 |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | request        | resource_id               |                2 | integer           |                          | FOREIGN KEY     | public       | resource      | resource_id
 postgresql | almacen       | public       | request        | request_id                |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | makesrequest   | request_id                |                2 | integer           |                          | FOREIGN KEY     | public       | request       | request_id
 postgresql | almacen       | public       | makesrequest   | consumer_id               |                1 | integer           |                          | FOREIGN KEY     | public       | consumer      | consumer_id
 postgresql | almacen       | public       | makesrequest   | request_id                |                2 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | makesrequest   | consumer_id               |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | admin          | person_id                 |                2 | integer           |                          | FOREIGN KEY     | public       | person        | person_id
 postgresql | almacen       | public       | admin          | admin_id                  |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | company        | company_id                |                1 | integer           |                          | PRIMARY KEY     |              |               | 
 postgresql | almacen       | public       | supplier       | person_id                 |                2 | integer           |                          | FOREIGN KEY     | public       | person        | person_id
 postgresql | almacen       | public       | supplier       | supplier_id               |                1 | integer           |                          | PRIMARY KEY     |              |               | 
